timestamp,open,high,low,close,volume
1614556800000,1739.085,1741.585,1737.185,1738.045,2.9662
1614560400000,1738.015,1744.995,1737.915,1744.925,3.9393
1614564000000,1744.895,1748.705,1744.475,1747.515,3.634
1614567600000,1747.515,1751.545,1747.425,1750.975,2.6629
1614571200000,1750.975,1751.165,1747.605,1749.765,2.0088
1614574800000,1749.765,1752.585,1748.745,1750.615,2.781
1614578400000,1750.635,1756.125,1749.715,1753.705,3.1179
1614582000000,1753.675,1759.715,1753.035,1753.47,4.1872
1614585600000,1753.47,1754.765,1748.258,1749.125,5.0349
1614589200000,1749.085,1749.955,1744.758,1746.775,5.2752
1614592800000,1746.855,1747.635,1743.563,1745.555,4.2535
1614596400000,1745.545,1747.055,1741.722,1743.465,4.2983
1614600000000,1743.415,1747.455,1735.793,1738.995,4.6283
1614603600000,1738.985,1739.995,1730.745,1735.875,7.1984
1614607200000,1735.875,1742.882,1732.755,1735.695,7.5328
1614610800000,1735.695,1741.355,1732.72,1738.705,8.1883
1614614400000,1738.735,1742.475,1730.895,1731.945,6.1901
1614618000000,1731.985,1734.525,1726.205,1726.845,5.0627
1614621600000,1726.855,1727.265,1720.495,1722.915,4.3008
1614625200000,1722.925,1725.005,1720.425,1724.335,4.3773
1614628800000,1724.365,1724.405,1719.525,1723.475,4.3492
1614632400000,1723.535,1726.675,1723.045,1724.615,1.4855
1614639600000,1724.165,1725.236,1721.348,1724.905,1.5084
1614643200000,1724.895,1728.376,1723.805,1727.166,1.8039
1614646800000,1727.136,1728.21,1710.377,1711.606,4.8713
1614650400000,1711.595,1716.876,1710.385,1712.606,4.1586
1614654000000,1712.536,1713.925,1707.066,1713.246,3.5593
1614657600000,1713.216,1715.746,1712.926,1713.306,1.6934
1614661200000,1713.306,1717.015,1710.606,1714.656,3.0896
1614664800000,1714.666,1722.266,1713.358,1721.916,3.9284
1614668400000,1721.696,1724.126,1716.616,1717.765,3.5875
1614672000000,1717.775,1722.276,1715.406,1721.736,3.6532
1614675600000,1721.736,1725.173,1720.695,1722.853,3.9342
1614679200000,1722.853,1730.836,1722.835,1727.725,3.3351
1614682800000,1727.725,1733.195,1726.686,1727.226,3.4856
1614686400000,1727.226,1734.23,1726.77,1733.513,4.5244
1614690000000,1733.503,1736.226,1723.906,1727.305,5.2002
1614693600000,1727.286,1730.31,1721.245,1725.736,5.905
1614697200000,1725.736,1727.416,1720.275,1725.27,5.8874
1614700800000,1725.27,1734.346,1723.975,1731.338,5.3608
