entry_time,exit_time,type,status,pnl
2021-12-01 10:00:00,2021-12-02 08:00:00,long,loss,-100.52955976512435
2021-12-02 12:00:00,2021-12-02 14:00:00,long,loss,-99.5242641674731
2021-12-07 08:00:00,2021-12-10 06:00:00,long,loss,-98.52902152579838
2021-12-14 08:00:00,2021-12-15 18:00:00,short,win,195.0874626210808
2021-12-16 12:00:00,2021-12-17 07:00:00,long,win,198.9892118735024
2021-12-21 08:00:00,2021-12-31 13:00:00,long,win,202.96899611097243
2022-03-02 13:00:00,2022-03-02 16:00:00,long,loss,-103.51418801659594
2022-03-03 09:00:00,2022-03-04 00:00:00,long,win,204.95809227285997
2022-03-09 08:00:00,2022-03-09 09:00:00,long,loss,-104.5286270591586
2022-03-10 13:00:00,2022-03-10 15:00:00,long,loss,-103.483340788567
2022-03-16 08:00:00,2022-03-17 01:00:00,short,loss,-102.44850738068133
2022-03-22 11:00:00,2022-03-23 19:00:00,short,loss,-101.42402230687452
2022-03-29 15:00:00,2022-03-30 06:00:00,short,loss,-100.40978208380578
2022-03-30 08:00:00,2022-03-30 12:00:00,short,loss,-99.40568426296774
2022-03-31 08:00:00,2022-03-31 13:00:00,short,loss,-98.41162742033806
2022-05-03 11:00:00,2022-05-03 14:00:00,short,loss,-97.42751114613468
2022-05-04 08:00:00,2022-05-04 23:00:00,long,win,192.90647206934668
2022-05-10 08:00:00,2022-05-10 14:00:00,long,loss,-98.3823007553668
2022-05-11 11:00:00,2022-05-11 12:00:00,long,loss,-97.39847774781312
2022-05-11 17:00:00,2022-05-12 13:00:00,long,loss,-96.424492970335
2022-05-17 14:00:00,2022-05-19 12:00:00,short,loss,-95.46024804063165
2022-05-24 08:00:00,2022-05-25 15:00:00,long,loss,-94.50564556022533
2022-05-26 11:00:00,2022-05-27 07:00:00,short,loss,-93.56058910462306
2022-05-31 08:00:00,2022-06-01 05:00:00,short,win,185.24996642715368
2022-09-06 08:00:00,2022-09-07 00:00:00,short,win,188.95496575569675
2022-09-07 08:00:00,2022-09-08 11:00:00,long,win,192.7340650708107
2022-09-13 08:00:00,2022-09-13 12:00:00,long,loss,-98.29437318611345
2022-09-14 08:00:00,2022-09-15 11:00:00,short,win,194.6228589085046
2022-09-20 08:00:00,2022-09-21 18:00:00,short,loss,-99.25765804333734
2022-09-22 09:00:00,2022-09-23 09:00:00,long,loss,-98.26508146290396
2022-09-27 08:00:00,2022-09-28 00:00:00,long,loss,-97.28243064827493
2022-09-28 10:00:00,2022-09-28 13:00:00,long,win,192.61921268358438
2022-09-29 09:00:00,2022-09-29 16:00:00,long,win,196.47159693725607
2023-04-05 14:00:00,2023-04-06 13:00:00,long,loss,-100.2005144380006
2023-04-11 11:00:00,2023-04-12 12:00:00,long,win,198.39701858724118
2023-04-12 13:00:00,2023-04-13 06:00:00,short,loss,-101.182479479493
2023-04-18 08:00:00,2023-04-19 06:00:00,long,loss,-100.17065468469805
2023-04-19 15:00:00,2023-04-20 10:00:00,short,loss,-99.16894813785107
2023-04-25 08:00:00,2023-04-25 18:00:00,short,loss,-98.17725865647257
2023-04-26 08:00:00,2023-04-26 17:00:00,long,loss,-97.19548606990784
2023-04-27 08:00:00,2023-04-27 12:00:00,long,loss,-96.22353120920876
2023-04-27 17:00:00,2023-05-01 12:00:00,short,loss,-95.26129589711667
2023-05-02 08:00:00,2023-05-02 14:00:00,short,loss,-94.30868293814551
2023-05-04 09:00:00,2023-05-05 12:00:00,long,loss,-93.36559610876404
2023-05-09 08:00:00,2023-05-11 13:00:00,long,loss,-92.4319401476764
2023-05-16 12:00:00,2023-05-16 16:00:00,short,win,183.01524149239924
2023-05-23 14:00:00,2023-05-25 01:00:00,long,loss,-93.33777316112362
2023-05-30 08:00:00,2023-05-31 13:00:00,long,win,184.80879085902478
2023-07-04 12:00:00,2023-07-05 20:00:00,long,loss,-94.25248333810264
2023-07-06 08:00:00,2023-07-07 14:00:00,short,loss,-93.30995850472159
2023-07-11 12:00:00,2023-07-12 13:00:00,long,win,184.75371783934875
2023-07-13 15:00:00,2023-07-18 11:00:00,short,loss,-94.22439609806787
2023-07-19 12:00:00,2023-07-21 07:00:00,long,loss,-93.28215213708718
2023-07-25 08:00:00,2023-07-27 13:00:00,long,loss,-92.3493306157163
2023-08-01 09:00:00,2023-08-03 12:00:00,short,win,182.85167461911828
2023-08-08 10:00:00,2023-08-14 13:00:00,short,win,186.50870811150062
2023-08-15 14:00:00,2023-08-16 17:00:00,long,loss,-95.11944113686532
2023-08-17 08:00:00,2023-08-23 12:00:00,short,loss,-94.16824672549666
2023-08-24 12:00:00,2023-08-29 14:00:00,short,loss,-93.22656425824171
2023-08-31 14:00:00,2023-10-01 22:00:00,short,win,184.58859723131857
2023-10-04 12:00:00,2023-10-05 12:00:00,long,loss,-94.14018458797247
2023-10-10 08:00:00,2023-10-12 06:00:00,long,win,186.39756548418552
2023-10-12 13:00:00,2023-10-13 09:00:00,short,loss,-95.06275839693461
2023-10-17 08:00:00,2023-10-18 02:00:00,long,win,188.22426162593052
2023-10-24 08:00:00,2023-10-25 13:00:00,short,loss,-95.99437342922457
2023-10-26 14:00:00,2023-10-27 17:00:00,short,loss,-95.03442969493231
2023-10-31 08:00:00,2023-10-31 17:00:00,long,loss,-94.084085397983
2024-01-03 09:00:00,2024-01-05 13:00:00,short,win,186.28648908800633
2024-01-09 08:00:00,2024-01-10 17:00:00,long,loss,-95.00610943488324
2024-01-11 08:00:00,2024-01-11 16:00:00,long,loss,-94.0560483405344
2024-01-16 15:00:00,2024-01-17 14:00:00,short,win,186.23097571425808
2024-01-18 12:00:00,2024-01-30 07:00:00,long,win,189.95559522854325
2024-01-30 15:00:00,2024-01-31 14:00:00,short,loss,-96.87735356655705
2024-04-03 08:00:00,2024-04-03 18:00:00,long,win,191.81716006178297
2024-04-04 09:00:00,2024-04-04 19:00:00,long,loss,-97.82675163150931
2024-04-09 12:00:00,2024-04-10 12:00:00,long,loss,-96.84848411519421
2024-04-11 11:00:00,2024-04-11 16:00:00,short,loss,-95.87999927404226
2024-04-16 08:00:00,2024-04-16 15:00:00,short,loss,-94.92119928130184
2024-04-17 10:00:00,2024-04-17 16:00:00,long,loss,-93.97198728848882
2024-04-18 08:00:00,2024-04-19 01:00:00,long,win,186.06453483120785
2024-04-23 18:00:00,2024-04-25 03:00:00,long,loss,-94.89291276391602
2024-04-25 09:00:00,2024-04-30 11:00:00,long,loss,-93.94398363627684
2024-07-02 08:00:00,2024-07-03 14:00:00,long,win,186.00908759982815
2024-07-04 18:00:00,2024-07-05 13:00:00,long,win,189.72926935182474
2024-07-09 08:00:00,2024-07-10 11:00:00,short,loss,-96.76192736943061
2024-07-11 08:00:00,2024-07-11 14:00:00,long,win,191.58861619147262
2024-07-16 12:00:00,2024-07-16 15:00:00,long,win,195.42038851530208
2024-07-18 08:00:00,2024-07-18 17:00:00,long,loss,-99.66439814280406
2024-07-23 12:00:00,2024-07-25 01:00:00,long,loss,-98.66775416137601
2024-07-30 08:00:00,2024-07-31 04:00:00,long,win,195.36215323952453
2024-09-03 15:00:00,2024-09-05 06:00:00,short,loss,-99.63469815215751
2024-09-10 08:00:00,2024-09-10 13:00:00,short,loss,-98.63835117063593
