entry_time,exit_time,status,pnl,score,type,year,month,dow,hour,week
2021-03-02 08:00:00,2021-03-02 08:30:00,loss,-82.50298122744856,5,short,2021,3,Tuesday,8,9
2021-03-02 18:30:00,2021-03-02 19:30:00,loss,-91.8321075224242,5,long,2021,3,Tuesday,19,9
2021-03-03 10:35:00,2021-03-03 13:00:00,win,270.31843952614634,6,short,2021,3,Wednesday,13,9
2021-03-03 14:30:00,2021-03-03 16:00:00,loss,-67.56185624784781,6,short,2021,3,Wednesday,16,9
2021-03-03 17:10:00,2021-03-04 13:00:00,loss,-88.61407947590617,5,short,2021,3,Thursday,13,9
2021-03-04 13:30:00,2021-03-04 13:40:00,loss,-73.49343625298863,5,short,2021,3,Thursday,13,9
2021-03-04 14:25:00,2021-03-04 15:25:00,loss,-67.00171973683213,5,short,2021,3,Thursday,15,9
2021-03-04 17:15:00,2021-03-04 17:35:00,win,301.5422464514048,6,short,2021,3,Thursday,17,9
2021-03-10 08:25:00,2021-03-10 08:35:00,loss,-65.1263279887251,5,short,2021,3,Wednesday,8,10
2021-03-10 11:15:00,2021-03-10 12:15:00,loss,-86.09792741831421,5,short,2021,3,Wednesday,12,10
2021-03-11 08:10:00,2021-03-11 09:30:00,loss,-98.94680728070277,6,long,2021,3,Thursday,9,10
2021-03-11 12:50:00,2021-03-11 13:30:00,loss,-102.42662678719675,6,long,2021,3,Thursday,13,10
2021-03-11 17:50:00,2021-03-11 18:00:00,loss,-114.34742875815573,5,short,2021,3,Thursday,18,10
2021-03-16 10:30:00,2021-03-16 11:55:00,loss,-90.21740789562534,5,long,2021,3,Tuesday,11,11
2021-03-16 13:15:00,2021-03-16 13:30:00,loss,-78.7921633065669,6,long,2021,3,Tuesday,13,11
2021-03-16 13:50:00,2021-03-16 15:30:00,loss,-93.41808205420766,7,long,2021,3,Tuesday,15,11
2021-03-30 08:15:00,2021-03-30 11:00:00,win,209.09659076558486,6,short,2021,3,Tuesday,11,13
2021-03-30 12:00:00,2021-03-30 12:30:00,win,332.91835809512645,7,short,2021,3,Tuesday,12,13
2021-03-30 14:45:00,2021-03-31 06:40:00,loss,-96.67796770284801,6,short,2021,3,Wednesday,6,13
2021-03-31 08:40:00,2021-03-31 08:50:00,loss,-70.31268801501815,5,short,2021,3,Wednesday,8,13
2021-03-31 11:30:00,2021-03-31 12:35:00,loss,-80.72101896203232,5,short,2021,3,Wednesday,12,13
2021-04-01 11:25:00,2021-04-01 11:50:00,loss,-87.11775290163031,5,short,2021,4,Thursday,11,13
