entry_time,exit_time,status,pnl,score,type,year,month,dow,hour,week
2021-03-02 08:15:00,2021-03-02 08:30:00,loss,-79.54290799762526,5,short,2021,3,Tuesday,8,9
2021-03-02 12:10:00,2021-03-02 13:05:00,win,201.8537895353272,5,long,2021,3,Tuesday,13,9
2021-03-02 15:00:00,2021-03-02 16:15:00,loss,-89.78025806036885,6,short,2021,3,Tuesday,16,9
2021-03-02 18:00:00,2021-03-02 20:55:00,loss,-150.3371012394499,6,long,2021,3,Tuesday,20,9
2021-03-03 10:20:00,2021-03-03 13:00:00,win,265.9096736411094,6,short,2021,3,Wednesday,13,9
2021-03-03 14:30:00,2021-03-03 16:00:00,loss,-67.56185624784781,6,short,2021,3,Wednesday,16,9
2021-03-03 17:10:00,2021-03-04 13:00:00,loss,-88.61407947590617,5,short,2021,3,Thursday,13,9
2021-03-04 13:20:00,2021-03-04 15:35:00,loss,-78.84025058893386,5,short,2021,3,Thursday,15,9
2021-03-04 17:10:00,2021-03-04 17:30:00,win,207.7619589899768,5,short,2021,3,Thursday,17,9
2021-03-10 08:40:00,2021-03-10 08:50:00,loss,-67.5374817502345,5,short,2021,3,Wednesday,8,10
2021-03-10 11:00:00,2021-03-10 12:15:00,loss,-130.28780596514497,6,short,2021,3,Wednesday,12,10
2021-03-11 08:00:00,2021-03-11 09:30:00,loss,-127.07923865720367,7,long,2021,3,Thursday,9,10
2021-03-11 10:50:00,2021-03-11 11:10:00,loss,-78.87247462408183,5,long,2021,3,Thursday,11,10
2021-03-11 11:15:00,2021-03-11 11:30:00,loss,-118.7469409734987,6,long,2021,3,Thursday,11,10
2021-03-11 12:45:00,2021-03-11 13:10:00,loss,-102.11562193204509,6,long,2021,3,Thursday,13,10
2021-03-11 13:10:00,2021-03-11 13:30:00,loss,-95.70132125840571,6,long,2021,3,Thursday,13,10
2021-03-11 15:10:00,2021-03-11 18:00:00,loss,-78.05596532587226,6,short,2021,3,Thursday,18,10
2021-03-11 18:30:00,2021-03-12 00:40:00,loss,-155.2743960592168,6,short,2021,3,Friday,0,10
