entry_time,exit_time,status,pnl,score,type,year,month,dow,hour,week
2022-07-05 08:30:00,2022-07-05 12:00:00,win,222.20041470386622,5,short,2022,7,Tuesday,12,27
2022-07-05 12:00:00,2022-07-05 12:15:00,loss,-125.1652673225735,7,short,2022,7,Tuesday,12,27
2022-07-05 12:15:00,2022-07-05 12:30:00,loss,-110.12748154579619,7,short,2022,7,Tuesday,12,27
2022-07-05 12:30:00,2022-07-05 13:30:00,win,253.25868080049386,7,short,2022,7,Tuesday,13,27
2022-07-07 08:00:00,2022-07-07 12:15:00,loss,-142.87209729921247,6,short,2022,7,Thursday,12,27
2022-07-07 12:15:00,2022-07-07 13:30:00,loss,-129.00076234523894,6,short,2022,7,Thursday,13,27
2022-07-07 14:45:00,2022-07-08 01:00:00,loss,-63.09339812296821,5,short,2022,7,Friday,1,27
2022-07-20 08:00:00,2022-07-20 09:15:00,loss,-123.98659269990796,6,short,2022,7,Wednesday,9,29
2022-07-20 11:30:00,2022-07-20 12:00:00,loss,-97.32404723919018,6,short,2022,7,Wednesday,12,29
2022-07-20 12:00:00,2022-07-20 12:15:00,loss,-97.61496469027615,6,short,2022,7,Wednesday,12,29
2022-07-20 12:45:00,2022-07-20 13:15:00,loss,-83.45245308425518,6,short,2022,7,Wednesday,13,29
2022-07-26 10:00:00,2022-07-27 08:00:00,loss,-72.61312377306301,5,short,2022,7,Wednesday,8,30
2022-07-27 13:00:00,2022-07-27 16:00:00,loss,-60.93789729902006,5,short,2022,7,Wednesday,16,30
2022-08-03 08:30:00,2022-08-03 12:15:00,loss,-87.40975404329755,5,short,2022,8,Wednesday,12,31
2022-08-17 08:00:00,2022-08-17 08:30:00,loss,-107.15916603521318,6,short,2022,8,Wednesday,8,33
2022-08-17 08:45:00,2022-08-17 11:15:00,win,231.15654038779212,6,short,2022,8,Wednesday,11,33
2022-08-17 11:45:00,2022-08-17 12:30:00,loss,-56.91678955436292,5,short,2022,8,Wednesday,12,33
2022-08-17 12:30:00,2022-08-17 15:15:00,win,171.59726241553005,6,short,2022,8,Wednesday,15,33
2022-08-17 16:45:00,2022-08-17 18:00:00,loss,-94.36093702260726,6,short,2022,8,Wednesday,18,33
2022-08-30 11:30:00,2022-08-30 14:15:00,win,187.45658044987297,5,short,2022,8,Tuesday,14,35
2022-08-30 16:00:00,2022-08-31 08:15:00,win,252.91703672241738,6,short,2022,8,Wednesday,8,35
2022-08-31 12:00:00,2022-08-31 13:45:00,loss,-57.56788243022951,5,short,2022,8,Wednesday,13,35
2022-08-31 16:45:00,2022-08-31 22:15:00,win,163.26021661825666,5,short,2022,8,Wednesday,22,35
2022-09-06 09:00:00,2022-09-06 12:00:00,loss,-82.06147336968097,5,short,2022,9,Tuesday,12,36
2022-09-06 13:15:00,2022-09-06 18:00:00,win,320.71519168958287,7,short,2022,9,Tuesday,18,36
2022-09-06 18:15:00,2022-09-08 00:00:00,loss,-74.52906700181498,5,short,2022,9,Thursday,0,36
2022-09-08 16:30:00,2022-09-08 17:30:00,loss,-95.10515101301492,6,short,2022,9,Thursday,17,36
2022-09-20 08:00:00,2022-09-20 13:30:00,win,287.10832347995495,6,short,2022,9,Tuesday,13,38
2022-09-20 13:45:00,2022-09-21 06:00:00,loss,-88.92603888815862,6,short,2022,9,Wednesday,6,38
2022-09-21 15:00:00,2022-09-21 18:00:00,win,158.7900660488781,5,short,2022,9,Wednesday,18,38
2022-09-21 18:15:00,2022-09-21 18:30:00,loss,-76.47757961731071,6,short,2022,9,Wednesday,18,38
2022-09-28 08:00:00,2022-09-28 10:00:00,loss,-114.70664143976262,6,short,2022,9,Wednesday,10,39
2022-09-29 08:30:00,2022-09-29 09:00:00,loss,-105.5180161331259,6,short,2022,9,Thursday,9,39
2022-10-06 11:30:00,2022-10-06 12:15:00,loss,-62.95128367959631,5,short,2022,10,Thursday,12,40
2022-10-06 14:00:00,2022-10-09 22:00:00,win,207.90114945466686,6,short,2022,10,Sunday,22,40
2022-10-19 12:00:00,2022-10-20 01:00:00,win,296.5887594537983,7,short,2022,10,Thursday,1,42
2022-10-20 08:15:00,2022-10-20 09:15:00,loss,-86.40912170604643,6,short,2022,10,Thursday,9,42
2022-10-20 13:00:00,2022-10-20 14:00:00,loss,-59.120992436576294,5,short,2022,10,Thursday,14,42
2022-11-02 16:15:00,2022-11-02 17:45:00,loss,-75.0824025678662,5,short,2022,11,Wednesday,17,44
2022-11-03 12:30:00,2022-11-03 14:00:00,loss,-89.01110086199452,6,short,2022,11,Thursday,14,44
2022-11-17 08:15:00,2022-11-17 09:30:00,loss,-170.12803197449634,7,long,2022,11,Thursday,9,46
2022-11-17 14:15:00,2022-11-18 03:45:00,loss,-79.15160980586224,6,short,2022,11,Friday,3,46
2022-11-22 13:00:00,2022-11-22 17:30:00,win,201.97039266595488,5,short,2022,11,Tuesday,17,47
2022-11-22 17:45:00,2022-11-24 00:00:00,loss,-83.33888914159438,5,short,2022,11,Thursday,0,47
2022-11-30 16:00:00,2022-11-30 18:30:00,loss,-45.84787759788618,5,short,2022,11,Wednesday,18,48
2022-12-20 08:15:00,2022-12-20 08:45:00,win,151.60141984886388,5,long,2022,12,Tuesday,8,51
2022-12-20 12:00:00,2022-12-20 12:45:00,loss,-107.49895142999782,6,long,2022,12,Tuesday,12,51
2022-12-20 13:30:00,2022-12-20 15:00:00,win,241.49998174239562,6,long,2022,12,Tuesday,15,51
2022-12-20 17:45:00,2022-12-22 13:30:00,loss,-110.441888799278,6,long,2022,12,Thursday,13,51
2022-12-27 08:45:00,2022-12-27 14:00:00,loss,-86.41907701273612,5,long,2022,12,Tuesday,14,52
2022-12-27 14:30:00,2022-12-27 15:00:00,win,132.17694896893047,5,long,2022,12,Tuesday,15,52
2022-12-27 17:15:00,2022-12-27 17:45:00,loss,-65.43030358068297,6,long,2022,12,Tuesday,17,52
2022-12-27 18:45:00,2022-12-29 00:00:00,loss,-49.92116235811369,5,long,2022,12,Thursday,0,52
2022-12-29 09:15:00,2022-12-29 10:15:00,loss,-90.21217039372826,5,long,2022,12,Thursday,10,52
2022-12-29 14:00:00,2022-12-29 15:00:00,win,154.19318836280814,5,long,2022,12,Thursday,15,52
2022-12-29 15:15:00,2022-12-30 14:00:00,win,186.15787470571627,6,long,2022,12,Friday,14,52
2023-01-03 09:15:00,2023-01-03 10:30:00,loss,-63.13906585032647,5,long,2023,1,Tuesday,10,1
2023-01-03 13:00:00,2023-01-03 14:30:00,win,192.30289430598052,5,long,2023,1,Tuesday,14,1
2023-01-03 17:00:00,2023-01-06 13:45:00,win,147.99099377361722,5,long,2023,1,Friday,13,1
2023-01-17 12:30:00,2023-01-17 17:30:00,loss,-70.26706372369625,5,long,2023,1,Tuesday,17,3
2023-01-18 09:00:00,2023-01-18 13:30:00,win,169.14523201489834,5,long,2023,1,Wednesday,13,3
2023-01-18 14:30:00,2023-01-18 15:00:00,loss,-110.80731462760177,7,long,2023,1,Wednesday,15,3
2023-01-18 15:15:00,2023-01-18 15:45:00,loss,-84.33064447394064,6,long,2023,1,Wednesday,15,3
2023-01-19 08:00:00,2023-01-19 09:00:00,loss,-117.3671533752327,6,long,2023,1,Thursday,9,3
2023-01-19 09:00:00,2023-01-19 10:15:00,loss,-72.92455397905898,5,long,2023,1,Thursday,10,3
2023-01-19 13:15:00,2023-01-19 13:30:00,loss,-70.36521073471606,5,long,2023,1,Thursday,13,3
2023-01-19 13:30:00,2023-01-19 15:15:00,win,160.67934139667304,5,long,2023,1,Thursday,15,3
2023-01-19 15:45:00,2023-01-19 19:15:00,win,216.23963040649426,6,long,2023,1,Thursday,19,3
2023-01-24 08:00:00,2023-01-24 09:30:00,loss,-116.97000501252415,6,long,2023,1,Tuesday,9,4
2023-01-24 10:15:00,2023-01-24 13:30:00,loss,-68.78778484962108,5,long,2023,1,Tuesday,13,4
2023-01-24 16:00:00,2023-01-25 03:15:00,loss,-44.548131320351125,5,long,2023,1,Wednesday,3,4
2023-01-25 15:15:00,2023-01-25 20:00:00,win,134.0252394197197,5,long,2023,1,Wednesday,20,4
2023-02-01 11:15:00,2023-02-01 13:30:00,loss,-103.50169958573534,6,long,2023,2,Wednesday,13,5
2023-02-01 13:30:00,2023-02-01 14:45:00,loss,-87.43378149671811,6,long,2023,2,Wednesday,14,5
2023-02-01 15:30:00,2023-02-01 16:45:00,loss,-48.98171875269697,5,long,2023,2,Wednesday,16,5
2023-02-21 15:30:00,2023-02-21 16:00:00,loss,-51.45834353026562,5,long,2023,2,Tuesday,16,8
2023-02-22 12:30:00,2023-02-22 13:00:00,loss,-53.148186955020805,5,long,2023,2,Wednesday,13,8
2023-02-22 13:00:00,2023-02-22 14:30:00,loss,-79.5961270145694,6,long,2023,2,Wednesday,14,8
2023-03-02 09:00:00,2023-03-02 09:45:00,loss,-118.17174171503908,6,long,2023,3,Thursday,9,9
2023-03-02 11:15:00,2023-03-02 12:30:00,loss,-75.09602209315246,5,long,2023,3,Thursday,12,9
2023-03-02 13:15:00,2023-03-02 13:30:00,loss,-68.35275677750323,5,long,2023,3,Thursday,13,9
2023-03-02 14:15:00,2023-03-05 23:00:00,win,162.5478875245328,5,long,2023,3,Sunday,23,9
2023-03-14 12:00:00,2023-03-14 12:30:00,loss,-172.0953428030092,6,long,2023,3,Tuesday,12,11
2023-03-14 12:45:00,2023-03-14 13:00:00,loss,-162.59236886918956,7,long,2023,3,Tuesday,13,11
2023-03-14 13:00:00,2023-03-14 13:30:00,loss,-121.3785711029991,6,long,2023,3,Tuesday,13,11
2023-03-14 14:00:00,2023-03-15 05:30:00,loss,-63.3764939404678,5,long,2023,3,Wednesday,5,11
2023-03-15 14:15:00,2023-03-15 18:30:00,loss,-56.60215505325338,6,long,2023,3,Wednesday,18,11
