entry_time,exit_time,status,pnl,score,type,year,month,dow,hour,week
2021-03-04 08:00:00,2021-03-04 09:00:00,win,177.40843178494092,5,short,2021,3,Thursday,9,9
2021-03-04 10:25:00,2021-03-04 10:40:00,loss,-109.56933124830131,7,short,2021,3,Thursday,10,9
2021-03-04 14:15:00,2021-03-04 15:35:00,loss,-64.33443588269694,5,short,2021,3,Thursday,15,9
2021-03-04 17:10:00,2021-03-04 17:30:00,win,207.7619589899768,5,short,2021,3,Thursday,17,9
2021-03-04 18:25:00,2021-03-05 00:10:00,win,159.39185576721303,5,short,2021,3,Friday,0,9
2021-03-16 08:15:00,2021-03-16 14:25:00,win,221.80119452680415,6,long,2021,3,Tuesday,14,11
2021-04-06 10:50:00,2021-04-06 11:50:00,win,258.7851797850349,5,long,2021,4,Tuesday,11,14
2021-04-06 12:15:00,2021-04-06 13:50:00,win,280.5813005355684,6,long,2021,4,Tuesday,13,14
2021-04-08 09:40:00,2021-04-08 11:00:00,win,205.08411244021275,5,long,2021,4,Thursday,11,14
2021-04-08 12:20:00,2021-04-08 13:05:00,win,277.2334022416933,6,long,2021,4,Thursday,13,14
2021-04-08 13:10:00,2021-04-08 13:40:00,win,268.09217292526597,7,long,2021,4,Thursday,13,14
2021-04-15 09:05:00,2021-04-15 10:35:00,loss,-75.8032255291361,5,long,2021,4,Thursday,10,15
2021-04-15 12:40:00,2021-04-15 13:50:00,win,155.83096667735222,6,long,2021,4,Thursday,13,15
2021-04-15 13:55:00,2021-04-15 14:10:00,win,228.2811743415675,7,long,2021,4,Thursday,14,15
2021-04-20 13:50:00,2021-04-20 16:25:00,win,177.8963132559463,5,long,2021,4,Tuesday,16,16
2021-04-21 10:30:00,2021-04-21 11:35:00,win,221.24574874486348,5,long,2021,4,Wednesday,11,16
2021-04-21 12:10:00,2021-04-21 12:30:00,win,328.33892888098376,6,long,2021,4,Wednesday,12,16
2021-05-04 12:00:00,2021-05-04 13:00:00,win,157.9057661817869,5,long,2021,5,Tuesday,13,18
2021-05-04 13:05:00,2021-05-04 14:00:00,win,240.06351054830077,6,long,2021,5,Tuesday,14,18
2021-05-13 12:30:00,2021-05-13 14:00:00,win,146.5834372407263,5,long,2021,5,Thursday,14,19
2021-05-13 14:00:00,2021-05-16 22:00:00,win,219.87898073607084,6,long,2021,5,Sunday,22,19
2021-05-18 11:40:00,2021-05-18 12:20:00,win,288.51028841366224,6,long,2021,5,Tuesday,12,20
2021-05-18 16:45:00,2021-05-19 00:45:00,win,321.00238906752395,5,long,2021,5,Wednesday,0,20
2021-05-19 13:15:00,2021-05-19 13:35:00,win,214.10770905863956,7,long,2021,5,Wednesday,13,20
2021-05-20 13:00:00,2021-05-20 13:50:00,win,162.83563203497906,5,long,2021,5,Thursday,13,20
2021-07-08 08:00:00,2021-07-08 08:30:00,win,201.45304189287435,7,long,2021,7,Thursday,8,27
2021-07-13 11:45:00,2021-07-13 12:00:00,win,227.97674315036733,5,long,2021,7,Tuesday,12,28
2021-07-14 08:05:00,2021-07-14 10:35:00,win,143.25089821971096,5,long,2021,7,Wednesday,10,28
2021-07-14 10:40:00,2021-07-14 12:00:00,win,282.7879569523736,6,long,2021,7,Wednesday,12,28
2021-07-14 15:30:00,2021-07-14 15:50:00,loss,-123.37040314257942,6,long,2021,7,Wednesday,15,28
2021-07-14 15:55:00,2021-07-15 05:45:00,win,215.5246639108953,5,long,2021,7,Thursday,5,28
2021-07-15 16:25:00,2021-07-15 23:05:00,win,255.92722961239605,5,long,2021,7,Thursday,23,28
2021-07-29 08:20:00,2021-07-29 10:05:00,win,222.22422667473282,6,long,2021,7,Thursday,10,30
2021-07-29 10:05:00,2021-07-29 11:20:00,win,279.1895825186851,6,long,2021,7,Thursday,11,30
2021-07-29 11:40:00,2021-07-29 12:20:00,loss,-114.26734670069963,6,long,2021,7,Thursday,12,30
2021-08-04 10:55:00,2021-08-04 11:25:00,win,262.8960781871804,5,long,2021,8,Wednesday,11,31
2021-08-04 12:00:00,2021-08-04 12:15:00,win,150.0445024168696,5,long,2021,8,Wednesday,12,31
2021-08-12 10:20:00,2021-08-12 12:20:00,win,223.42067250980296,5,short,2021,8,Thursday,12,32
2021-08-18 11:50:00,2021-08-18 12:20:00,win,186.3377851815942,5,long,2021,8,Wednesday,12,33
2021-08-19 09:00:00,2021-08-19 13:05:00,win,221.22013055642495,6,long,2021,8,Thursday,13,33
2021-09-01 12:20:00,2021-09-01 12:45:00,win,145.42300284311602,5,long,2021,9,Wednesday,12,35
2021-09-15 09:15:00,2021-09-15 12:20:00,win,171.09438990211825,5,long,2021,9,Wednesday,12,37
2021-09-28 08:00:00,2021-09-28 10:45:00,win,123.4580583970012,5,short,2021,9,Tuesday,10,39
2021-09-28 15:45:00,2021-09-29 02:30:00,loss,-82.47188879923235,5,short,2021,9,Wednesday,2,39
2021-09-29 13:30:00,2021-09-29 14:10:00,win,228.33055959776405,7,short,2021,9,Wednesday,14,39
2021-09-29 15:10:00,2021-09-29 17:25:00,win,142.2711543207825,5,short,2021,9,Wednesday,17,39
2021-09-30 09:05:00,2021-09-30 10:20:00,win,293.8227622777689,6,short,2021,9,Thursday,10,39
2021-09-30 10:20:00,2021-09-30 11:00:00,win,380.37689487584,7,short,2021,9,Thursday,11,39
2021-10-07 15:45:00,2021-10-08 02:35:00,loss,-80.66821209637399,5,short,2021,10,Friday,2,40
2021-10-14 08:00:00,2021-10-14 10:55:00,win,243.9200686977855,7,long,2021,10,Thursday,10,41
2021-10-27 10:45:00,2021-10-27 12:10:00,win,221.62913854906986,5,long,2021,10,Wednesday,12,43
2021-10-27 16:25:00,2021-11-01 00:00:00,loss,-106.5267642537267,5,long,2021,11,Monday,0,44
2021-11-02 09:50:00,2021-11-02 10:10:00,loss,-122.2357393807633,6,long,2021,11,Tuesday,10,44
2021-11-04 13:35:00,2021-11-07 23:00:00,win,144.77707270717988,5,long,2021,11,Sunday,23,44
2021-11-11 08:00:00,2021-11-11 08:35:00,win,365.24633061050145,7,long,2021,11,Thursday,8,45
2021-11-16 08:00:00,2021-11-16 08:50:00,win,168.86369473845366,5,long,2021,11,Tuesday,8,46
2021-12-02 13:20:00,2021-12-02 14:35:00,win,254.0192418959813,6,short,2021,12,Thursday,14,48
2021-12-09 11:45:00,2021-12-09 12:15:00,win,214.28330835737938,5,short,2021,12,Thursday,12,49
2021-12-09 12:20:00,2021-12-09 13:05:00,win,263.8075206376733,6,short,2021,12,Thursday,13,49
2021-12-14 14:50:00,2021-12-14 14:55:00,loss,-67.65920698637619,6,short,2021,12,Tuesday,14,50
2021-12-14 15:10:00,2021-12-15 14:30:00,win,115.27064858893452,5,short,2021,12,Wednesday,14,50
2021-12-15 15:00:00,2021-12-15 18:40:00,win,225.18303704371664,7,short,2021,12,Wednesday,18,50
2021-12-15 18:40:00,2021-12-15 19:00:00,win,268.7632955517063,5,short,2021,12,Wednesday,19,50
2021-12-28 08:00:00,2021-12-28 10:35:00,win,218.54983218075617,6,long,2021,12,Tuesday,10,52
2021-12-28 13:40:00,2021-12-28 14:00:00,loss,-100.32226730467121,7,long,2021,12,Tuesday,14,52
2021-12-30 10:50:00,2021-12-30 12:35:00,win,238.54186991768725,5,long,2021,12,Thursday,12,52
2021-12-30 14:45:00,2021-12-30 16:30:00,win,111.99639661146092,5,long,2021,12,Thursday,16,52
2021-12-30 16:50:00,2021-12-31 01:15:00,win,295.83720244933863,6,long,2021,12,Friday,1,52
2022-01-04 14:00:00,2022-01-04 15:25:00,win,139.84054115073124,5,long,2022,1,Tuesday,15,1
2022-01-04 15:55:00,2022-01-05 13:25:00,win,161.01657205289112,5,long,2022,1,Wednesday,13,1
2022-01-05 13:25:00,2022-01-05 13:40:00,win,227.99771413042066,7,long,2022,1,Wednesday,13,1
2022-01-25 14:00:00,2022-01-25 14:25:00,loss,-89.8409792064855,6,long,2022,1,Tuesday,14,4
2022-01-25 14:40:00,2022-01-25 14:45:00,win,151.8846475699561,5,long,2022,1,Tuesday,14,4
2022-02-02 09:20:00,2022-02-02 10:15:00,win,144.92592892286154,5,long,2022,2,Wednesday,10,5
2022-02-03 17:00:00,2022-02-09 00:00:00,win,211.12713120470173,5,long,2022,2,Wednesday,0,6
2022-02-09 09:35:00,2022-02-09 11:10:00,loss,-147.3241358312489,7,long,2022,2,Wednesday,11,6
2022-02-09 11:55:00,2022-02-09 13:00:00,win,314.9828593799105,6,long,2022,2,Wednesday,13,6
2022-02-09 14:40:00,2022-02-09 17:00:00,win,122.70710775673894,5,long,2022,2,Wednesday,17,6
2022-02-10 14:35:00,2022-02-10 16:50:00,win,84.38158162378436,5,long,2022,2,Thursday,16,6
2022-02-22 17:25:00,2022-02-22 19:30:00,loss,-101.75542162836189,5,long,2022,2,Tuesday,19,8
2022-02-23 12:45:00,2022-02-23 13:20:00,win,241.10652619553616,5,long,2022,2,Wednesday,13,8
2022-02-23 13:40:00,2022-02-23 15:00:00,win,136.57400963839535,5,long,2022,2,Wednesday,15,8
2022-02-23 15:10:00,2022-02-24 00:25:00,win,237.4018406791821,7,long,2022,2,Thursday,0,8
2022-02-24 09:05:00,2022-02-24 09:55:00,win,339.36414212106627,6,long,2022,2,Thursday,9,8
