entry_time,exit_time,status,pnl,score,type,year,month,dow,hour,week
2021-08-05 08:00:00,2021-08-05 08:15:00,loss,-49.069718811578426,5,long,2021,8,Thursday,8,31
2021-08-05 11:00:00,2021-08-05 12:15:00,loss,-78.78057387212708,5,long,2021,8,Thursday,12,31
2021-08-11 12:20:00,2021-08-11 12:30:00,loss,-61.940527454412624,5,short,2021,8,Wednesday,12,32
2021-08-12 10:20:00,2021-08-12 12:20:00,win,223.42067250980296,5,short,2021,8,Thursday,12,32
2021-08-12 12:20:00,2021-08-12 12:45:00,loss,-64.87832827900176,5,short,2021,8,Thursday,12,32
2021-08-12 13:00:00,2021-08-12 15:45:00,loss,-47.495952655145736,5,short,2021,8,Thursday,15,32
2021-08-12 18:55:00,2021-08-12 19:15:00,loss,-130.30547093750948,5,short,2021,8,Thursday,19,32
2021-08-31 08:15:00,2021-08-31 08:35:00,loss,-99.68547957199071,6,long,2021,8,Tuesday,8,35
2021-08-31 10:05:00,2021-08-31 10:45:00,loss,-90.184245091827,5,long,2021,8,Tuesday,10,35
2021-08-31 17:15:00,2021-09-01 00:50:00,loss,-114.02288514768703,5,long,2021,9,Wednesday,0,35
2021-09-01 11:00:00,2021-09-01 11:20:00,loss,-165.90817374510416,6,long,2021,9,Wednesday,11,35
2021-09-01 12:15:00,2021-09-01 12:20:00,loss,-64.09435315666505,5,long,2021,9,Wednesday,12,35
2021-09-01 12:20:00,2021-09-01 12:45:00,win,145.42300284311602,5,long,2021,9,Wednesday,12,35
2021-09-01 13:00:00,2021-09-01 13:10:00,loss,-77.87104132110076,6,long,2021,9,Wednesday,13,35
2021-09-01 13:15:00,2021-09-01 14:00:00,loss,-40.92934137955845,5,long,2021,9,Wednesday,14,35
2021-09-01 16:05:00,2021-09-01 16:50:00,loss,-100.08139967235948,5,long,2021,9,Wednesday,16,35
2021-09-02 08:00:00,2021-09-02 11:25:00,loss,-61.1787606813102,5,long,2021,9,Thursday,11,35
2021-09-02 11:50:00,2021-09-02 12:15:00,loss,-84.24815894145551,5,long,2021,9,Thursday,12,35
2021-09-15 09:15:00,2021-09-15 12:20:00,win,171.09438990211825,5,long,2021,9,Wednesday,12,37
2021-09-15 12:20:00,2021-09-15 12:30:00,loss,-63.51682975807638,5,long,2021,9,Wednesday,12,37
2021-09-15 12:30:00,2021-09-15 12:35:00,loss,-81.07599960825037,6,long,2021,9,Wednesday,12,37
2021-09-21 08:00:00,2021-09-21 08:10:00,loss,-55.97436846443087,5,short,2021,9,Tuesday,8,38
2021-09-22 11:20:00,2021-09-22 12:25:00,loss,-92.65261070301422,5,short,2021,9,Wednesday,12,38
2021-09-22 12:40:00,2021-09-22 13:30:00,loss,-88.89212444393543,6,short,2021,9,Wednesday,13,38
2021-09-23 14:05:00,2021-09-23 20:20:00,win,247.25515916466432,7,short,2021,9,Thursday,20,38
2021-09-28 08:00:00,2021-09-28 10:45:00,win,123.4580583970012,5,short,2021,9,Tuesday,10,39
2021-09-28 11:15:00,2021-09-28 11:40:00,loss,-115.04722398861722,6,short,2021,9,Tuesday,11,39
2021-09-28 11:50:00,2021-09-28 12:15:00,loss,-74.59236543738763,5,short,2021,9,Tuesday,12,39
2021-09-28 12:25:00,2021-09-28 13:05:00,loss,-100.56438535374934,6,short,2021,9,Tuesday,13,39
2021-09-28 13:40:00,2021-09-28 14:20:00,loss,-49.976969155779365,5,short,2021,9,Tuesday,14,39
2021-09-28 14:50:00,2021-09-28 15:25:00,loss,-62.69680171265275,5,short,2021,9,Tuesday,15,39
2021-09-28 15:40:00,2021-09-29 02:35:00,loss,-78.75580531779558,5,short,2021,9,Wednesday,2,39
2021-09-29 12:40:00,2021-09-29 14:05:00,win,149.61473008341957,5,short,2021,9,Wednesday,14,39
2021-09-29 14:55:00,2021-09-29 15:05:00,loss,-81.55622473941604,6,short,2021,9,Wednesday,15,39
2021-09-29 15:10:00,2021-09-29 17:25:00,win,142.2711543207825,5,short,2021,9,Wednesday,17,39
2021-09-29 17:40:00,2021-09-29 22:50:00,loss,-156.1537269874502,6,short,2021,9,Wednesday,22,39
2021-09-30 09:05:00,2021-09-30 10:20:00,win,293.8227622777689,6,short,2021,9,Thursday,10,39
2021-09-30 10:20:00,2021-09-30 11:00:00,win,380.37689487584,7,short,2021,9,Thursday,11,39
2021-09-30 11:05:00,2021-09-30 11:35:00,loss,-127.79602285561329,7,short,2021,9,Thursday,11,39
2021-09-30 11:45:00,2021-09-30 12:05:00,loss,-71.17445866828245,5,short,2021,9,Thursday,12,39
2021-09-30 12:10:00,2021-09-30 12:20:00,loss,-105.62886065154859,6,short,2021,9,Thursday,12,39
2021-10-07 13:25:00,2021-10-07 13:40:00,loss,-78.01442174325545,6,short,2021,10,Thursday,13,40
2021-10-07 13:45:00,2021-10-07 13:55:00,loss,-49.91501886595527,5,short,2021,10,Thursday,13,40
2021-10-07 15:00:00,2021-10-08 11:05:00,loss,-59.687674243343196,5,short,2021,10,Friday,11,40
2021-10-12 08:15:00,2021-10-12 09:10:00,loss,-60.02972022335859,5,short,2021,10,Tuesday,9,41
2021-10-12 13:00:00,2021-10-12 13:05:00,loss,-53.07199734589917,5,short,2021,10,Tuesday,13,41
2021-10-19 15:20:00,2021-10-20 02:55:00,loss,-71.14785213890474,5,short,2021,10,Wednesday,2,42
2021-10-20 08:00:00,2021-10-20 11:05:00,win,145.73497932031364,5,long,2021,10,Wednesday,11,42
2021-10-20 11:05:00,2021-10-20 11:20:00,loss,-131.6932171076964,6,long,2021,10,Wednesday,11,42
2021-10-20 11:20:00,2021-10-20 11:25:00,loss,-165.8803969181573,7,long,2021,10,Wednesday,11,42
2021-10-20 11:30:00,2021-10-20 12:00:00,win,315.12104752806994,6,long,2021,10,Wednesday,12,42
2021-10-20 12:05:00,2021-10-20 12:25:00,loss,-114.09717613559505,7,long,2021,10,Wednesday,12,42
2021-10-20 12:25:00,2021-10-20 12:35:00,win,276.7944274174068,7,long,2021,10,Wednesday,12,42
2021-10-20 12:55:00,2021-10-20 13:05:00,loss,-93.51418049994743,7,long,2021,10,Wednesday,13,42
2021-10-20 13:05:00,2021-10-20 13:25:00,loss,-89.11656205056701,7,long,2021,10,Wednesday,13,42
2021-10-20 14:30:00,2021-10-21 11:25:00,loss,-51.31682197169983,5,long,2021,10,Thursday,11,42
2021-10-21 13:05:00,2021-10-21 13:55:00,loss,-46.1723191336661,5,long,2021,10,Thursday,13,42
2021-10-26 11:50:00,2021-10-26 12:20:00,loss,-93.73678937620168,5,long,2021,10,Tuesday,12,43
2021-10-26 18:35:00,2021-10-27 01:00:00,loss,-139.93831944297625,5,long,2021,10,Wednesday,1,43
2021-11-02 08:55:00,2021-11-02 10:15:00,loss,-61.90269108520709,5,long,2021,11,Tuesday,10,44
2021-11-04 13:35:00,2021-11-07 23:00:00,win,144.77707270717988,5,long,2021,11,Sunday,23,44
2021-12-01 08:55:00,2021-12-01 09:35:00,loss,-99.3861120075828,6,short,2021,12,Wednesday,9,48
2021-12-02 08:00:00,2021-12-02 08:05:00,loss,-141.98372191871763,7,short,2021,12,Thursday,8,48
2021-12-02 08:05:00,2021-12-02 08:25:00,win,341.7762691059903,7,short,2021,12,Thursday,8,48
2021-12-02 08:35:00,2021-12-02 10:10:00,loss,-84.58310712451882,7,short,2021,12,Thursday,10,48
2021-12-02 13:10:00,2021-12-02 13:15:00,loss,-110.15172671956951,6,short,2021,12,Thursday,13,48
2021-12-02 13:20:00,2021-12-02 14:35:00,win,254.0192418959813,6,short,2021,12,Thursday,14,48
2021-12-02 15:05:00,2021-12-03 03:10:00,loss,-83.82326139075691,7,short,2021,12,Friday,3,48
2021-12-07 09:25:00,2021-12-07 09:40:00,loss,-62.19412038306068,5,short,2021,12,Tuesday,9,49
2021-12-07 13:55:00,2021-12-07 14:10:00,loss,-50.379885928892485,5,short,2021,12,Tuesday,14,49
2021-12-08 14:35:00,2021-12-08 14:45:00,loss,-103.60774387486413,6,short,2021,12,Wednesday,14,49
2021-12-09 11:45:00,2021-12-09 12:15:00,win,214.28330835737938,5,short,2021,12,Thursday,12,49
2021-12-09 12:20:00,2021-12-09 13:05:00,win,263.8075206376733,6,short,2021,12,Thursday,13,49
2021-12-09 13:10:00,2021-12-09 13:20:00,loss,-83.51550487910806,6,short,2021,12,Thursday,13,49
2021-12-09 13:25:00,2021-12-09 14:20:00,loss,-50.01800082823821,5,short,2021,12,Thursday,14,49
2021-12-09 14:45:00,2021-12-09 15:25:00,loss,-51.06047994626691,5,short,2021,12,Thursday,15,49
2021-12-09 16:30:00,2021-12-10 01:40:00,loss,-86.20608971166794,5,short,2021,12,Friday,1,49
2021-12-14 14:40:00,2021-12-14 14:55:00,loss,-44.01515762295818,5,short,2021,12,Tuesday,14,50
2021-12-14 15:10:00,2021-12-15 14:30:00,win,115.27064858893452,5,short,2021,12,Wednesday,14,50
2021-12-15 14:35:00,2021-12-15 14:50:00,loss,-86.28952107699482,7,short,2021,12,Wednesday,14,50
2021-12-15 15:00:00,2021-12-15 18:40:00,win,225.18303704371664,7,short,2021,12,Wednesday,18,50
2021-12-15 18:40:00,2021-12-15 19:00:00,win,268.7632955517063,5,short,2021,12,Wednesday,19,50
2021-12-28 08:00:00,2021-12-28 10:35:00,win,218.54983218075617,6,long,2021,12,Tuesday,10,52
2021-12-28 10:35:00,2021-12-28 11:20:00,loss,-131.73614948487187,6,long,2021,12,Tuesday,11,52
2021-12-28 11:25:00,2021-12-28 13:05:00,loss,-73.750595277264,5,long,2021,12,Tuesday,13,52
2021-12-28 13:20:00,2021-12-28 14:05:00,loss,-59.61076162327691,5,long,2021,12,Tuesday,14,52
