entry_time,exit_time,status,pnl,score,type,year,month,dow,hour,week
2021-03-02 08:00:00,2021-03-02 08:30:00,loss,-80.0,5,short,2021,3,Tuesday,8,9
2021-03-02 12:10:00,2021-03-02 13:05:00,win,200.0,5,long,2021,3,Tuesday,13,9
2021-03-02 13:05:00,2021-03-02 13:20:00,loss,-120.0,6,long,2021,3,Tuesday,13,9
2021-03-02 14:50:00,2021-03-02 16:15:00,loss,-120.0,6,short,2021,3,Tuesday,16,9
2021-03-02 17:00:00,2021-03-03 08:15:00,loss,-80.0,5,long,2021,3,Wednesday,8,9
2021-03-03 10:20:00,2021-03-03 13:00:00,win,300.0,6,short,2021,3,Wednesday,13,9
2021-03-03 13:35:00,2021-03-03 15:40:00,win,300.0,6,short,2021,3,Wednesday,15,9
2021-03-03 15:45:00,2021-03-03 15:55:00,loss,-150.0,7,short,2021,3,Wednesday,15,9
2021-03-03 17:10:00,2021-03-04 13:00:00,loss,-80.0,5,short,2021,3,Thursday,13,9
2021-03-04 13:20:00,2021-03-04 15:35:00,loss,-80.0,5,short,2021,3,Thursday,15,9
2021-03-04 17:10:00,2021-03-04 17:30:00,win,200.0,5,short,2021,3,Thursday,17,9
2021-03-04 18:25:00,2021-03-05 00:10:00,win,200.0,5,short,2021,3,Friday,0,9
2021-03-10 08:20:00,2021-03-10 08:35:00,loss,-80.0,5,short,2021,3,Wednesday,8,10
2021-03-10 08:40:00,2021-03-10 08:50:00,loss,-80.0,5,short,2021,3,Wednesday,8,10
2021-03-10 11:00:00,2021-03-10 12:15:00,loss,-120.0,6,short,2021,3,Wednesday,12,10
2021-03-11 08:00:00,2021-03-11 09:30:00,loss,-150.0,7,long,2021,3,Thursday,9,10
2021-03-11 10:50:00,2021-03-11 11:10:00,loss,-80.0,5,long,2021,3,Thursday,11,10
2021-03-11 11:15:00,2021-03-11 11:30:00,loss,-120.0,6,long,2021,3,Thursday,11,10
2021-03-11 12:45:00,2021-03-11 13:10:00,loss,-120.0,6,long,2021,3,Thursday,13,10
2021-03-11 13:10:00,2021-03-11 13:30:00,loss,-120.0,6,long,2021,3,Thursday,13,10
2021-03-11 15:10:00,2021-03-11 18:00:00,loss,-120.0,6,short,2021,3,Thursday,18,10
2021-03-11 18:30:00,2021-03-12 00:40:00,loss,-120.0,6,short,2021,3,Friday,0,10
2021-03-16 08:15:00,2021-03-16 14:25:00,win,300.0,6,long,2021,3,Tuesday,14,11
2021-03-16 14:40:00,2021-03-16 14:55:00,loss,-150.0,7,long,2021,3,Tuesday,14,11
2021-03-16 17:00:00,2021-03-16 17:40:00,loss,-80.0,5,long,2021,3,Tuesday,17,11
2021-03-30 08:05:00,2021-03-30 11:00:00,win,375.0,7,short,2021,3,Tuesday,11,13
2021-03-30 11:05:00,2021-03-30 11:50:00,win,300.0,6,short,2021,3,Tuesday,11,13
2021-03-30 11:50:00,2021-03-30 12:30:00,win,375.0,7,short,2021,3,Tuesday,12,13
2021-03-30 12:55:00,2021-03-30 13:15:00,loss,-150.0,7,short,2021,3,Tuesday,13,13
2021-03-30 13:20:00,2021-03-31 12:40:00,loss,-120.0,6,short,2021,3,Wednesday,12,13
2021-04-01 10:55:00,2021-04-01 11:45:00,loss,-80.0,5,short,2021,4,Thursday,11,13
2021-04-01 13:45:00,2021-04-05 15:15:00,win,300.0,6,long,2021,4,Monday,15,14
2021-04-06 08:00:00,2021-04-06 08:25:00,loss,-120.0,6,long,2021,4,Tuesday,8,14
2021-04-06 08:45:00,2021-04-06 09:25:00,loss,-80.0,5,long,2021,4,Tuesday,9,14
2021-04-06 10:50:00,2021-04-06 11:50:00,win,200.0,5,long,2021,4,Tuesday,11,14
