entry_time,exit_time,type,status,pnl
2022-04-28 13:00:00,2022-04-28 19:25:00,short,loss,-115.84643950550667
2022-05-02 14:00:00,2022-05-04 18:00:00,short,loss,-114.68797511045159
2022-05-05 13:05:00,2022-05-05 13:50:00,long,loss,-113.54109535934708
2022-05-09 13:00:00,2022-05-09 18:40:00,long,loss,-112.4056844057536
2022-05-10 13:00:00,2022-05-10 14:45:00,long,loss,-111.28162756169606
2022-05-10 16:45:00,2022-05-11 13:40:00,short,loss,-110.16881128607909
2022-05-11 14:10:00,2022-05-13 00:00:00,short,win,218.1342463464366
2022-05-23 13:20:00,2022-05-25 00:00:00,short,loss,-111.24846563668267
2022-05-25 13:05:00,2022-05-30 05:40:00,short,loss,-110.13598098031584
2022-05-30 13:00:00,2022-05-31 00:55:00,long,loss,-109.03462117051268
2022-05-31 13:00:00,2022-06-01 09:00:00,short,win,215.8885499176151
2022-06-01 13:40:00,2022-06-02 16:10:00,long,win,220.2063209159674
2022-06-02 16:50:00,2022-06-03 12:35:00,long,loss,-112.30522366714338
2022-06-07 13:00:00,2022-06-07 19:10:00,short,loss,-111.18217143047195
2022-06-08 13:00:00,2022-06-14 00:00:00,long,loss,-110.07034971616724
2022-06-14 13:00:00,2022-06-14 15:40:00,long,loss,-108.96964621900557
2022-06-14 16:35:00,2022-06-15 11:30:00,long,win,215.75989951363104
2022-06-15 13:15:00,2022-06-15 19:25:00,short,loss,-110.03754875195182
2022-06-21 13:00:00,2022-06-23 11:05:00,long,loss,-108.9371732644323
2022-06-23 13:10:00,2022-06-23 18:20:00,long,loss,-107.84780153178798
2022-06-27 13:00:00,2022-06-27 15:00:00,long,loss,-106.76932351647008
2022-06-27 16:00:00,2022-06-29 09:30:00,long,loss,-105.70163028130538
2022-06-29 13:00:00,2022-06-29 13:50:00,long,loss,-104.64461397849233
2022-06-29 16:00:00,2022-06-30 11:30:00,long,loss,-103.5981678387074
2022-06-30 13:15:00,2022-06-30 14:45:00,long,loss,-102.56218616032032
2022-06-30 15:45:00,2022-07-10 22:00:00,long,loss,-101.53656429871714
2022-07-12 13:00:00,2022-07-14 09:30:00,short,win,201.04239731145995
2022-07-14 13:05:00,2022-07-18 07:20:00,short,loss,-102.53162262884456
2022-07-18 13:00:00,2022-07-19 00:15:00,long,loss,-101.5063064025561
2022-07-19 13:00:00,2022-07-21 07:00:00,short,win,200.9824866770611
2022-07-21 13:20:00,2022-07-22 09:30:00,long,win,205.00213641060233
2022-07-25 13:00:00,2022-07-27 18:50:00,short,loss,-104.55108956940718
2022-07-28 13:00:00,2022-08-03 01:10:00,long,win,207.0111573474262
2022-08-03 13:00:00,2022-08-03 14:10:00,long,loss,-105.57569024718737
2022-08-03 16:10:00,2022-08-04 09:45:00,long,win,209.03986668943097
2022-08-04 13:05:00,2022-08-04 17:45:00,short,loss,-106.61033201160978
2022-08-08 13:00:00,2022-08-10 12:30:00,long,win,211.0884573829874
2022-08-10 13:05:00,2022-08-16 12:30:00,short,win,215.31022653064716
2022-08-16 13:00:00,2022-08-18 17:00:00,short,win,219.61643106126013
2022-08-22 13:00:00,2022-08-22 14:40:00,short,loss,-112.00437984124267
2022-08-22 15:25:00,2022-08-29 14:10:00,short,loss,-110.88433604283024
2022-08-29 14:55:00,2022-08-31 08:15:00,short,win,219.55098536480386
2022-08-31 13:00:00,2022-08-31 14:25:00,short,loss,-111.97100253604997
2022-08-31 15:55:00,2022-09-02 00:00:00,short,win,221.70258502137895
2022-09-06 13:15:00,2022-09-07 17:45:00,short,loss,-113.06831836090328
2022-09-08 13:35:00,2022-09-09 07:00:00,short,loss,-111.93763517729424
2022-09-12 13:00:00,2022-09-13 04:00:00,long,loss,-110.8182588255213
2022-09-13 13:45:00,2022-09-15 04:55:00,short,win,219.42015247453216
2022-09-15 13:00:00,2022-09-15 14:55:00,short,win,223.80855552402278
2022-09-22 13:20:00,2022-09-22 15:20:00,long,loss,-114.14236331725162
2022-09-22 15:50:00,2022-09-23 09:50:00,short,win,226.00187936815823
2022-09-27 13:00:00,2022-09-29 00:00:00,short,loss,-115.2609584777607
2022-09-29 13:00:00,2022-10-03 13:15:00,long,win,228.21669778596618
2022-10-03 13:35:00,2022-10-03 14:30:00,long,win,232.78103174168552
2022-10-03 16:35:00,2022-10-04 07:15:00,long,win,237.43665237651925
2022-10-04 13:05:00,2022-10-07 12:45:00,long,loss,-121.0926927120248
2022-10-10 13:00:00,2022-10-10 14:45:00,long,loss,-119.88176578490454
2022-10-10 16:50:00,2022-10-11 15:30:00,short,loss,-118.6829481270555
2022-10-12 13:00:00,2022-10-17 00:00:00,long,loss,-117.49611864578493
2022-10-17 13:05:00,2022-10-17 17:50:00,long,loss,-116.32115745932708
