entry_time,exit_time,type,status,pnl
2022-07-12 13:00:00,2022-07-12 17:40:00,long,loss,-86.46128776440592
2022-07-13 13:30:00,2022-07-13 13:45:00,short,loss,-85.59667488676185
2022-07-13 15:35:00,2022-07-14 06:50:00,long,loss,-84.74070813789423
2022-07-14 13:00:00,2022-07-15 03:05:00,short,loss,-83.89330105651528
2022-07-18 13:00:00,2022-07-19 00:35:00,short,win,166.10873609190025
2022-07-19 13:00:00,2022-07-21 06:05:00,short,win,169.43091081373828
2022-07-21 13:25:00,2022-07-21 14:05:00,long,win,172.81952903001303
2022-07-21 14:25:00,2022-07-21 14:50:00,short,loss,-88.13795980530665
2022-07-21 16:45:00,2022-07-22 01:30:00,long,win,174.51316041450718
2022-07-25 13:00:00,2022-07-27 19:20:00,short,loss,-89.00171181139868
2022-07-28 13:00:00,2022-07-31 07:05:00,long,win,176.22338938656935
2022-08-01 13:00:00,2022-08-01 17:50:00,long,loss,-89.87392858715037
2022-08-02 13:00:00,2022-08-02 16:30:00,long,loss,-88.97518930127886
2022-08-02 16:50:00,2022-08-02 18:00:00,long,loss,-88.08543740826609
2022-08-03 13:00:00,2022-08-03 15:10:00,long,loss,-87.20458303418341
2022-08-03 15:45:00,2022-08-04 01:40:00,short,loss,-86.33253720384158
2022-08-04 13:00:00,2022-08-04 16:40:00,short,loss,-85.46921183180316
2022-08-08 13:00:00,2022-08-09 21:15:00,long,win,169.22903942697027
2022-08-10 13:00:00,2022-08-10 18:40:00,long,loss,-86.30681010775483
2022-08-11 13:00:00,2022-08-12 00:25:00,long,loss,-85.44374200667728
2022-08-15 13:00:00,2022-08-17 12:20:00,long,loss,-84.58930458661051
2022-08-17 13:35:00,2022-08-18 11:10:00,short,loss,-83.7434115407444
2022-08-18 13:00:00,2022-08-19 11:45:00,short,win,165.8119548506739
2022-08-22 13:00:00,2022-08-23 14:00:00,short,loss,-84.5640969738437
2022-08-23 16:15:00,2022-08-24 20:35:00,short,win,167.43691200821053
2022-08-25 13:00:00,2022-08-26 12:30:00,short,loss,-85.39282512418737
2022-08-29 13:25:00,2022-08-30 14:45:00,long,loss,-84.5388968729455
2022-08-30 15:25:00,2022-09-01 03:00:00,short,win,167.3870158084321
2022-09-01 13:00:00,2022-09-02 12:40:00,short,loss,-85.36737806230036
2022-09-05 13:00:00,2022-09-06 00:50:00,short,loss,-84.51370428167735
2022-09-06 13:00:00,2022-09-07 09:55:00,short,loss,-83.66856723886058
2022-09-07 13:00:00,2022-09-07 14:45:00,short,loss,-82.83188156647196
2022-09-08 13:00:00,2022-09-08 14:05:00,short,loss,-82.00356275080725
2022-09-12 13:00:00,2022-09-13 12:40:00,short,win,162.36705424659837
2022-09-13 13:55:00,2022-09-14 20:05:00,short,win,165.61439533153032
2022-09-15 13:00:00,2022-09-15 14:45:00,long,loss,-84.46334161908045
2022-09-19 13:00:00,2022-09-21 11:45:00,long,win,167.2374164057793
2022-09-21 13:15:00,2022-09-21 18:05:00,short,win,170.5821647338949
2022-09-22 13:25:00,2022-09-22 15:55:00,long,loss,-86.9969040142864
2022-09-22 16:20:00,2022-09-23 09:55:00,long,loss,-86.12693497414354
2022-09-26 13:00:00,2022-09-26 16:35:00,long,loss,-85.2656656244021
2022-09-27 13:10:00,2022-09-27 16:10:00,long,loss,-84.41300896815808
2022-09-27 16:30:00,2022-09-28 12:35:00,short,loss,-83.5688788784765
2022-09-29 13:00:00,2022-09-30 06:50:00,long,win,165.46638017938346
2022-10-03 13:00:00,2022-10-03 14:30:00,long,win,168.77570778297112
2022-10-04 13:20:00,2022-10-04 15:35:00,long,win,172.15122193863056
2022-10-05 13:00:00,2022-10-05 14:00:00,long,loss,-87.79712318870159
2022-10-05 14:35:00,2022-10-06 05:40:00,long,win,173.83830391362915
2022-10-06 13:00:00,2022-10-07 14:20:00,short,win,177.31506999190174
2022-10-10 13:00:00,2022-10-13 12:30:00,short,win,180.86137139173977
2022-10-13 14:10:00,2022-10-13 15:20:00,short,loss,-92.2392994097873
2022-10-17 13:05:00,2022-10-17 19:15:00,long,loss,-91.31690641568942
2022-10-18 13:00:00,2022-10-19 06:50:00,long,loss,-90.40373735153251
2022-10-19 13:05:00,2022-10-20 01:35:00,long,loss,-89.49969997801718
2022-10-20 13:00:00,2022-10-20 14:25:00,short,loss,-88.604702978237
2022-10-20 16:00:00,2022-10-20 18:05:00,long,loss,-87.71865594845464
