entry_time,exit_time,status,pnl,score,type,risk_pct,year,month,dow,hour,week
2021-03-02 08:00:00,2021-03-02 08:30:00,loss,-82.50298122744856,5,short,0.008250298122744856,2021,3,Tuesday,8,9
2021-03-02 12:10:00,2021-03-02 13:05:00,win,201.8537895353272,5,long,0.008074151581413088,2021,3,Tuesday,13,9
2021-03-02 13:05:00,2021-03-02 13:20:00,loss,-109.74382264244784,6,long,0.010974382264244784,2021,3,Tuesday,13,9
2021-03-02 14:50:00,2021-03-02 16:15:00,loss,-89.30944539127543,6,short,0.008930944539127543,2021,3,Tuesday,16,9
2021-03-02 17:00:00,2021-03-03 08:15:00,loss,-81.05553103869538,5,long,0.008105553103869538,2021,3,Wednesday,8,9
2021-03-03 10:20:00,2021-03-03 13:00:00,win,265.9096736411094,6,short,0.010636386945644375,2021,3,Wednesday,13,9
2021-03-03 13:35:00,2021-03-03 15:40:00,win,157.67202503960328,6,short,0.006306881001584131,2021,3,Wednesday,15,9
2021-03-03 15:45:00,2021-03-03 15:55:00,loss,-94.70737425531112,7,short,0.009470737425531112,2021,3,Wednesday,15,9
2021-03-03 17:10:00,2021-03-04 13:00:00,loss,-88.61407947590617,5,short,0.008861407947590617,2021,3,Thursday,13,9
2021-03-04 13:20:00,2021-03-04 15:35:00,loss,-78.84025058893386,5,short,0.007884025058893386,2021,3,Thursday,15,9
2021-03-04 17:10:00,2021-03-04 17:30:00,win,207.7619589899768,5,short,0.00831047835959907,2021,3,Thursday,17,9
2021-03-04 18:25:00,2021-03-05 00:10:00,win,159.39185576721303,5,short,0.006375674230688521,2021,3,Friday,0,9
2021-03-10 08:20:00,2021-03-10 08:35:00,loss,-63.71751549948364,5,short,0.006371751549948364,2021,3,Wednesday,8,10
2021-03-10 08:40:00,2021-03-10 08:50:00,loss,-67.5374817502345,5,short,0.00675374817502345,2021,3,Wednesday,8,10
2021-03-10 11:00:00,2021-03-10 12:15:00,loss,-130.28780596514497,6,short,0.013028780596514496,2021,3,Wednesday,12,10
2021-03-11 08:00:00,2021-03-11 09:30:00,loss,-127.07923865720367,7,long,0.012707923865720368,2021,3,Thursday,9,10
2021-03-11 10:50:00,2021-03-11 11:10:00,loss,-78.87247462408183,5,long,0.007887247462408183,2021,3,Thursday,11,10
2021-03-11 11:15:00,2021-03-11 11:30:00,loss,-118.7469409734987,6,long,0.01187469409734987,2021,3,Thursday,11,10
2021-03-11 12:45:00,2021-03-11 13:10:00,loss,-102.11562193204509,6,long,0.010211562193204508,2021,3,Thursday,13,10
2021-03-11 13:10:00,2021-03-11 13:30:00,loss,-95.70132125840571,6,long,0.009570132125840571,2021,3,Thursday,13,10
2021-03-11 15:10:00,2021-03-11 18:00:00,loss,-78.05596532587226,6,short,0.007805596532587226,2021,3,Thursday,18,10
2021-03-11 18:30:00,2021-03-12 00:40:00,loss,-155.2743960592168,6,short,0.01552743960592168,2021,3,Friday,0,10
2021-03-16 08:15:00,2021-03-16 14:25:00,win,221.80119452680415,6,long,0.008872047781072166,2021,3,Tuesday,14,11
2021-03-16 14:40:00,2021-03-16 14:55:00,loss,-103.31031208162827,7,long,0.010331031208162826,2021,3,Tuesday,14,11
2021-03-16 17:00:00,2021-03-16 17:40:00,loss,-94.26162250015577,5,long,0.009426162250015576,2021,3,Tuesday,17,11
2021-03-30 08:05:00,2021-03-30 11:00:00,win,244.43368095560632,7,short,0.009777347238224253,2021,3,Tuesday,11,13
2021-03-30 11:05:00,2021-03-30 11:50:00,win,335.06055844229934,6,short,0.013402422337691974,2021,3,Tuesday,11,13
2021-03-30 11:50:00,2021-03-30 12:30:00,win,324.05301730874305,7,short,0.012962120692349722,2021,3,Tuesday,12,13
2021-03-30 12:55:00,2021-03-30 13:15:00,loss,-98.52675462023831,7,short,0.00985267546202383,2021,3,Tuesday,13,13
2021-03-30 13:20:00,2021-03-31 12:40:00,loss,-84.36021852140092,6,short,0.008436021852140093,2021,3,Wednesday,12,13
2021-04-01 10:55:00,2021-04-01 11:45:00,loss,-96.04637800427705,5,short,0.009604637800427704,2021,4,Thursday,11,13
2021-04-01 13:45:00,2021-04-05 15:15:00,win,207.6333916806875,6,long,0.0083053356672275,2021,4,Monday,15,14
2021-04-06 08:00:00,2021-04-06 08:25:00,loss,-76.29318220892122,6,long,0.007629318220892123,2021,4,Tuesday,8,14
2021-04-06 08:45:00,2021-04-06 09:25:00,loss,-58.194866790238784,5,long,0.005819486679023878,2021,4,Tuesday,9,14
2021-04-06 10:50:00,2021-04-06 11:50:00,win,258.7851797850349,5,long,0.010351407191401396,2021,4,Tuesday,11,14
2021-04-06 11:50:00,2021-04-06 12:20:00,loss,-123.14832313788472,6,long,0.012314832313788472,2021,4,Tuesday,12,14
2021-04-06 12:20:00,2021-04-06 13:50:00,win,277.44005514520336,6,long,0.011097602205808136,2021,4,Tuesday,13,14
2021-04-06 13:55:00,2021-04-08 00:00:00,loss,-87.98608193470739,6,long,0.008798608193470739,2021,4,Thursday,0,14
2021-04-08 08:00:00,2021-04-08 08:30:00,loss,-87.91035627174496,6,long,0.008791035627174495,2021,4,Thursday,8,14
2021-04-08 09:40:00,2021-04-08 11:00:00,win,205.08411244021275,5,long,0.00820336449760851,2021,4,Thursday,11,14
2021-04-08 11:00:00,2021-04-08 12:10:00,loss,-160.89394914046636,7,long,0.016089394914046637,2021,4,Thursday,12,14
2021-04-08 12:20:00,2021-04-08 13:05:00,win,277.2334022416933,6,long,0.011089336089667732,2021,4,Thursday,13,14
2021-04-08 13:10:00,2021-04-08 13:40:00,win,268.09217292526597,7,long,0.010723686917010639,2021,4,Thursday,13,14
2021-04-08 13:55:00,2021-04-09 05:25:00,loss,-94.16465561315556,7,long,0.009416465561315555,2021,4,Friday,5,14
2021-04-15 08:30:00,2021-04-15 11:35:00,loss,-74.32881590814769,5,long,0.007432881590814769,2021,4,Thursday,11,15
2021-04-15 12:05:00,2021-04-15 12:30:00,loss,-84.78178721767311,6,long,0.008478178721767312,2021,4,Thursday,12,15
2021-04-15 12:30:00,2021-04-15 12:40:00,loss,-64.63108463071671,6,long,0.006463108463071672,2021,4,Thursday,12,15
2021-04-15 12:40:00,2021-04-15 13:50:00,win,155.83096667735222,6,long,0.006233238667094089,2021,4,Thursday,13,15
2021-04-15 13:55:00,2021-04-15 14:10:00,win,228.2811743415675,7,long,0.0091312469736627,2021,4,Thursday,14,15
2021-04-15 15:55:00,2021-04-15 20:20:00,loss,-129.9346259857843,6,long,0.012993462598578429,2021,4,Thursday,20,15
2021-04-20 11:00:00,2021-04-20 12:10:00,loss,-116.16034717378861,6,long,0.01161603471737886,2021,4,Tuesday,12,16
2021-04-20 12:15:00,2021-04-20 12:20:00,loss,-79.36962409355033,5,long,0.007936962409355033,2021,4,Tuesday,12,16
2021-04-20 13:50:00,2021-04-20 16:25:00,win,177.8963132559463,5,long,0.007115852530237852,2021,4,Tuesday,16,16
2021-04-20 16:25:00,2021-04-20 16:50:00,loss,-94.59341094287147,5,long,0.009459341094287147,2021,4,Tuesday,16,16
2021-04-20 17:00:00,2021-04-20 23:30:00,loss,-109.61679873772849,5,long,0.01096167987377285,2021,4,Tuesday,23,16
2021-04-21 10:30:00,2021-04-21 11:35:00,win,221.24574874486348,5,long,0.00884982994979454,2021,4,Wednesday,11,16
2021-04-21 11:35:00,2021-04-21 12:20:00,loss,-128.26225448704474,6,long,0.012826225448704475,2021,4,Wednesday,12,16
2021-04-21 12:20:00,2021-04-21 13:40:00,win,302.6022976597741,6,long,0.012104091906390963,2021,4,Wednesday,13,16
2021-04-21 14:10:00,2021-04-22 06:10:00,loss,-91.55999993811729,7,long,0.009155999993811729,2021,4,Thursday,6,16
2021-04-27 09:45:00,2021-04-27 10:30:00,loss,-81.87319637154961,5,long,0.008187319637154961,2021,4,Tuesday,10,17
2021-04-27 10:55:00,2021-04-27 11:40:00,loss,-83.44215699341942,5,long,0.008344215699341942,2021,4,Tuesday,11,17
2021-04-27 11:55:00,2021-04-27 12:10:00,loss,-69.86719749854782,5,long,0.006986719749854782,2021,4,Tuesday,12,17
2021-04-27 12:10:00,2021-04-27 13:30:00,loss,-62.469993145982826,5,long,0.006246999314598283,2021,4,Tuesday,13,17
2021-04-27 14:00:00,2021-04-27 14:40:00,loss,-73.85304475662753,6,long,0.007385304475662753,2021,4,Tuesday,14,17
2021-04-28 13:05:00,2021-04-28 13:35:00,loss,-56.050042395995064,5,long,0.005605004239599506,2021,4,Wednesday,13,17
2021-04-28 13:40:00,2021-04-28 18:35:00,win,127.31428020143069,5,long,0.005092571208057227,2021,4,Wednesday,18,17
2021-04-28 18:45:00,2021-04-29 01:15:00,win,188.18201021960357,6,long,0.007527280408784143,2021,4,Thursday,1,17
2021-04-29 12:45:00,2021-04-29 13:00:00,loss,-65.20561961217182,5,long,0.006520561961217182,2021,4,Thursday,13,17
2021-04-29 13:00:00,2021-04-29 13:05:00,loss,-118.45442352986103,7,long,0.011845442352986103,2021,4,Thursday,13,17
2021-04-29 18:40:00,2021-04-30 00:15:00,loss,-130.86423794142587,5,long,0.013086423794142588,2021,4,Friday,0,17
2021-05-04 08:00:00,2021-05-04 09:00:00,loss,-61.03826778256922,5,long,0.006103826778256922,2021,5,Tuesday,9,18
2021-05-04 12:00:00,2021-05-04 13:00:00,win,157.9057661817869,5,long,0.006316230647271476,2021,5,Tuesday,13,18
