date,wins,losses,pnl
2024-07-31,1,1,90.27930210310065
2024-08-02,0,3,-276.29215613994705
2024-08-04,0,5,-442.3716918705718
2024-08-05,2,3,81.53809629226049
2024-08-06,1,0,173.30654468749407
2024-08-07,1,0,176.77267558124393
2024-08-08,0,5,-441.84462047329293
2024-08-11,0,1,-85.73561834170147
2024-08-12,0,1,-84.87826215828446
2024-08-16,0,2,-167.21866427803621
2024-08-20,1,0,164.71458578784248
2024-08-21,1,0,168.00887750359934
2024-08-22,0,1,-85.68452752683567
2024-08-23,0,1,-84.82768225156731
2024-09-03,0,1,-83.97940542905164
2024-09-05,1,0,166.27922274952223
2024-09-06,0,1,-84.80240360225635
2024-09-09,0,1,-83.95437956623378
2024-09-10,0,1,-83.11483577057145
2024-09-12,0,1,-82.28368741286573
2024-09-13,0,2,-162.10709257208677
2024-09-17,1,0,159.6795592260324
2024-09-18,0,1,-81.43657520527653
2024-09-19,2,0,325.71372619102397
2024-09-20,1,1,82.20175978083131
2024-09-22,0,1,-84.70136431294232
2024-09-24,1,0,167.70870133962578
2024-09-29,1,0,171.06287536641827
2024-09-30,1,0,174.48413287374663
2024-10-01,1,2,-2.65180985141518
2024-10-02,1,1,87.18118187375472
2024-10-03,0,1,-89.83220148583418
2024-10-05,1,0,177.86775894195165
2024-10-06,0,1,-90.71255706039534
2024-10-08,1,2,-2.6762018583957996
2024-10-09,0,1,-89.77866947120744
2024-10-10,0,1,-88.88088277649537
2024-10-11,0,1,-87.99207394873041
2024-10-16,1,0,174.22430641848624
2024-10-17,0,2,-176.82024858412169
2024-10-18,0,1,-87.08619378758677
2024-10-19,1,0,172.43066369942179
2024-10-20,0,1,-87.93963848670512
2024-10-21,0,1,-87.06024210183807
2024-10-23,3,0,527.5495465583613
2024-10-24,0,3,-271.66059789833247
2024-10-30,1,0,177.49705833483998
2024-10-31,0,1,-90.5234997507684
2024-11-01,0,1,-89.6182647532607
2024-11-06,0,3,-263.513456062223
2024-11-07,1,1,84.36520859420375
2024-11-08,0,1,-86.93059963104788
2024-11-10,0,1,-86.0612936347374
2024-11-11,1,1,83.49666708442221
2024-11-12,2,1,258.0725278487551
2024-11-13,1,2,-2.640767904902134
2024-11-14,0,1,-88.58996496867279
2024-11-15,1,0,175.40813063797214
2024-11-18,1,1,87.66898369285848
2024-11-19,1,0,180.66967292458875
2024-11-20,2,1,276.3877429613442
2024-11-21,0,1,-94.90541062115372
2024-11-22,1,1,92.07722938464333
2024-11-23,0,1,-94.87712880878863
2024-11-25,2,1,281.7475012190939
2024-11-27,0,1,-96.7458325328917
2024-12-05,1,0,191.55674841512555
2024-12-06,0,2,-194.4109439665109
2024-12-09,0,1,-95.74983225204892
2024-12-10,0,2,-188.63674451976152
2024-12-11,0,1,-92.9059664843308
2024-12-12,1,1,90.13736868309775
2024-12-13,0,1,-92.87828050631846
2024-12-18,1,0,183.89899540251056
2024-12-19,0,2,-186.63909043400798
2024-12-23,1,1,90.08365481592152
2024-12-26,0,1,-92.82293329909952
2024-12-27,0,1,-91.89470396610852
2024-12-30,0,1,-90.97575692644743
2025-01-02,1,0,180.13199871436592
2025-01-03,0,1,-91.8673193443266
2025-01-09,0,1,-90.94864615088335
2025-01-10,0,1,-90.0391596893745
2025-01-13,1,0,178.2775361849615
2025-01-15,1,0,181.84308690866075
2025-01-16,0,2,-184.55254890359979
2025-01-17,0,1,-90.89444883438098
2025-01-18,0,1,-89.98550434603717
2025-01-19,0,1,-89.08564930257681
2025-01-21,1,0,176.38958561910206
2025-01-22,1,0,179.91737733148415
2025-01-23,0,1,-91.7578624390569
2025-01-24,0,1,-90.84028381466634
2025-01-27,0,1,-89.93188097651966
2025-01-28,1,0,178.06512433350895
2025-01-29,0,1,-90.81321341008956
2025-01-30,0,1,-89.90508127598866
2025-01-31,1,1,87.22590985396421
2025-02-02,4,0,740.8861545682024
2025-02-03,1,1,95.34140808530147
2025-02-04,0,2,-195.4987247247239
2025-02-05,1,2,-2.8693102226434917
2025-02-06,1,0,192.51376967765958
2025-02-10,1,1,96.21838208489426
2025-02-11,0,1,-99.14420635645534
2025-02-12,1,0,196.3055285857816
2025-02-13,1,0,200.2316391574972
2025-02-14,0,2,-203.2150905809439
2025-02-18,1,0,200.17197012902824
2025-02-24,1,0,204.17540953160878
2025-02-25,0,2,-207.21762313362976
2025-02-26,0,1,-102.05728262978418
2025-02-27,1,1,99.01597560741662
2025-02-28,1,2,-3.040400712874913
2025-03-03,1,0,203.99293110486354
2025-03-04,0,1,-104.0363948634804
2025-03-06,0,1,-102.9960309148456
2025-03-10,0,1,-101.96607060569714
2025-03-11,1,0,201.89281979928035
2025-03-12,0,1,-102.96533809763298
2025-03-13,1,1,99.89697102232353
2025-03-18,1,1,100.8759613383423
2025-03-19,0,1,-103.9434140402633
2025-03-21,0,2,-204.77892000072276
2025-03-23,0,1,-100.85619069985346
2025-03-24,1,0,199.69525758570984
2025-03-25,0,1,-101.84458136871203
2025-03-26,0,1,-100.8261355550249
2025-03-27,0,2,-198.63756965695455
2025-03-28,0,2,-194.68468202078117
2025-03-29,0,1,-95.8846516826973
2025-03-30,1,0,189.85161033174063
2025-03-31,0,2,-192.68039932568357
2025-04-01,1,1,92.99956693041224
2025-04-02,1,0,191.65502589047
2025-04-03,1,2,-2.912773083483387
2025-04-04,1,2,-2.9119050771044783
2025-04-06,0,3,-290.1366433565677
2025-04-07,0,1,-94.78444998896813
2025-04-09,1,2,-2.7963308435745375
2025-04-10,1,2,-2.7954975369831345
2025-04-11,0,3,-278.538019068381
2025-04-12,1,1,89.17540087429725
2025-04-14,0,2,-182.85525143643073
2025-04-15,1,0,180.11701701793544
2025-04-16,1,2,-2.7374184246385767
2025-04-17,0,2,-182.7462859448524
2025-04-18,0,1,-90.00484163545217
2025-04-20,0,1,-89.10479321909763
2025-04-21,0,2,-175.54535312094424
2025-04-22,2,6,-177.10161928481483
2025-04-23,1,3,-87.18571956650425
2025-04-24,0,1,-83.81541836718404
2025-04-25,2,0,335.2281473013893
2025-04-27,1,1,84.60295474339556
2025-04-28,0,1,-87.17557520396007
2025-04-30,2,0,348.66743058575867
2025-05-01,2,0,362.75359478142326
2025-05-02,1,0,186.83605941118455
2025-05-05,0,3,-283.0101078291512
2025-05-06,0,5,-453.12781211725996
2025-05-07,0,1,-87.92501110024003
2025-05-08,0,2,-173.22106436858286
2025-05-09,0,4,-336.16942846806194
2025-05-11,1,0,163.90371212174236
2025-05-12,1,2,-2.491008616826221
2025-05-14,0,1,-83.56598309592034
2025-05-15,2,1,248.15787766557742
2025-05-16,1,2,-2.539314680840178
2025-05-18,1,1,83.48277871691234
2025-05-19,0,4,-338.958389040328
2025-05-20,1,3,-85.06955476243138
