entry_time,exit_time,type,status,pnl
2021-12-30 08:00:00,2021-12-31 05:40:00,long,win,179.69429231286279
2022-01-04 08:00:00,2022-01-05 13:30:00,long,win,183.28817815912004
2022-01-05 15:05:00,2022-01-06 05:35:00,short,win,186.95394172230243
2022-01-06 08:00:00,2022-01-16 23:00:00,short,loss,-95.34651027837424
2022-01-18 08:00:00,2022-01-18 13:15:00,long,loss,-94.3930451755905
2022-01-18 14:05:00,2022-01-20 00:00:00,long,win,186.8982294476692
2022-01-20 08:00:00,2022-01-21 08:55:00,long,loss,-95.31809701831129
2022-01-25 08:00:00,2022-01-25 14:45:00,short,loss,-94.36491604812818
2022-01-25 15:05:00,2022-01-25 19:45:00,short,loss,-93.4212668876469
2022-01-26 08:00:00,2022-01-26 19:40:00,short,win,184.97410843754085
2022-01-27 08:00:00,2022-01-27 16:25:00,short,win,188.67359060629167
2022-01-27 18:15:00,2022-01-28 11:05:00,long,loss,-96.22353120920874
2022-02-02 08:10:00,2022-02-09 00:00:00,long,win,190.5225917942333
2022-02-09 08:05:00,2022-02-10 07:40:00,short,loss,-97.16652181505899
2022-02-10 08:00:00,2022-02-14 00:00:00,short,loss,-96.1948565969084
2022-02-15 08:00:00,2022-02-15 09:20:00,short,win,190.46581606187863
2022-02-15 13:35:00,2022-02-18 00:00:00,long,win,194.2751323831162
2022-02-22 08:00:00,2022-02-23 09:30:00,short,win,198.1606350307785
2022-02-23 10:00:00,2022-02-23 13:20:00,short,loss,-101.06192386569704
2022-02-23 16:20:00,2022-02-24 03:05:00,long,win,200.10260925408016
2022-02-24 08:00:00,2022-02-24 10:15:00,long,win,204.10466143916176
2022-02-24 12:00:00,2022-02-24 14:35:00,short,win,208.186754667945
2022-02-24 17:35:00,2022-02-24 19:15:00,short,win,212.35048976130386
2022-03-09 08:00:00,2022-03-09 09:25:00,short,win,216.59749955652995
2022-03-09 12:20:00,2022-03-09 13:00:00,long,loss,-110.46472477383027
2022-03-09 15:15:00,2022-03-09 18:15:00,long,loss,-109.36007752609197
2022-03-15 08:00:00,2022-03-16 14:15:00,short,win,216.53295350166212
2022-03-16 15:35:00,2022-03-16 18:00:00,long,loss,-110.43180628584768
2022-03-16 18:00:00,2022-03-16 18:15:00,long,loss,-109.32748822298922
2022-03-16 18:40:00,2022-03-17 01:30:00,long,win,216.46842668151865
2022-03-17 08:00:00,2022-03-18 13:20:00,long,loss,-110.39889760757451
2022-03-22 08:00:00,2022-03-24 00:00:00,short,loss,-109.29490863149877
2022-03-24 08:00:00,2022-03-24 14:35:00,long,win,216.40391909036757
2022-03-24 16:50:00,2022-03-25 10:40:00,long,loss,-110.36599873608746
2022-03-31 08:00:00,2022-04-01 14:30:00,long,loss,-109.26233874872658
2022-04-05 08:00:00,2022-04-05 13:25:00,short,loss,-108.1697153612393
2022-04-05 14:10:00,2022-04-10 22:00:00,short,loss,-107.08801820762692
2022-04-12 08:00:00,2022-04-12 12:30:00,short,loss,-106.01713802555065
2022-04-12 13:30:00,2022-04-18 07:45:00,long,win,209.91393329059028
2022-04-19 08:00:00,2022-04-19 12:45:00,long,loss,-107.05610597820105
2022-04-19 16:05:00,2022-04-25 00:00:00,short,win,211.97108983683808
2022-04-26 08:00:00,2022-04-26 10:55:00,short,loss,-108.1052558167874
2022-04-26 11:30:00,2022-04-28 00:55:00,short,win,214.0484065172391
2022-04-28 08:00:00,2022-05-02 12:15:00,long,loss,-109.16468732379194
2022-05-04 08:00:00,2022-05-05 01:00:00,long,win,216.14608090110804
2022-05-05 08:00:00,2022-05-05 12:30:00,short,loss,-110.23450125956509
2022-05-05 13:20:00,2022-05-05 15:05:00,short,win,218.2643124939389
2022-05-05 17:10:00,2022-05-06 12:30:00,short,loss,-111.31479937190883
2022-05-10 08:00:00,2022-05-10 19:55:00,short,win,220.4033027563795
2022-05-11 08:00:00,2022-05-11 12:35:00,long,loss,-112.40568440575355
2022-05-11 13:15:00,2022-05-13 00:00:00,long,loss,-111.281627561696
2022-05-25 08:00:00,2022-05-31 19:55:00,short,win,220.3376225721581
2022-07-12 08:00:00,2022-07-12 18:10:00,long,loss,-112.37218751180063
