entry_time,exit_time,status,pnl,score,type
2021-04-01 17:20:00,2021-04-05 02:30:00,loss,-108.00098022445147,5,long
2021-04-06 08:00:00,2021-04-06 08:25:00,loss,-107.13697238265586,5,long
2021-04-06 08:50:00,2021-04-06 09:20:00,loss,-106.2798766035946,5,long
2021-04-06 10:50:00,2021-04-06 11:50:00,win,263.57409397691464,5,long
2021-04-06 11:50:00,2021-04-06 12:20:00,loss,-161.30734551387175,6,long
2021-04-06 12:20:00,2021-04-06 13:50:00,win,398.42914341926326,6,long
2021-04-06 13:55:00,2021-04-08 00:00:00,loss,-205.1910088609206,7,long
2021-04-08 08:00:00,2021-04-08 08:30:00,loss,-161.69051498240543,6,long
2021-04-08 09:40:00,2021-04-08 11:00:00,win,266.2503813376943,5,long
2021-04-08 11:00:00,2021-04-08 12:10:00,loss,-203.68154172333612,7,long
2021-04-08 12:20:00,2021-04-08 13:05:00,win,401.2526371949721,6,long
2021-04-08 13:10:00,2021-04-08 13:40:00,win,516.6127703885265,7,long
2021-04-08 13:55:00,2021-04-09 05:25:00,loss,-214.39429971123857,7,long
2021-04-15 08:30:00,2021-04-15 11:35:00,loss,-112.62847211497065,5,long
2021-04-15 12:00:00,2021-04-15 12:15:00,win,279.31861084512724,5,long
2021-04-15 12:15:00,2021-04-15 12:25:00,loss,-213.6787372965223,7,long
2021-04-15 12:25:00,2021-04-15 12:40:00,loss,-210.47355623707443,7,long
2021-04-15 12:40:00,2021-04-15 13:50:00,win,518.2911322337958,7,long
2021-04-15 13:55:00,2021-04-15 14:10:00,win,537.7270496925631,7,long
2021-04-15 15:55:00,2021-04-15 20:20:00,loss,-178.52538049793094,6,long
2021-04-20 08:25:00,2021-04-20 08:45:00,loss,-117.58871728797052,5,short
2021-04-20 08:45:00,2021-04-20 10:50:00,loss,-116.64800754966676,5,short
2021-04-20 10:50:00,2021-04-20 12:30:00,loss,-115.71482348926942,5,long
2021-04-20 12:55:00,2021-04-20 13:40:00,loss,-114.78910490135526,5,short
2021-04-20 13:40:00,2021-04-20 16:20:00,win,284.676980155361,5,long
2021-04-20 16:20:00,2021-04-20 16:50:00,loss,-116.1482079033873,5,long
2021-04-20 17:00:00,2021-04-20 23:30:00,loss,-115.2190222401602,5,long
2021-04-21 10:30:00,2021-04-21 11:35:00,win,285.74317515559727,5,long
2021-04-21 11:35:00,2021-04-21 12:20:00,loss,-174.87482319522553,6,long
2021-04-21 12:20:00,2021-04-21 13:40:00,win,431.94081329220705,6,long
2021-04-21 14:10:00,2021-04-22 06:10:00,loss,-222.44951884548666,7,long
2021-04-22 09:00:00,2021-04-22 09:30:00,win,438.22555212560866,6,short
2021-04-22 09:30:00,2021-04-22 09:55:00,loss,-120.36595165050052,5,short
2021-04-22 09:55:00,2021-04-22 10:05:00,loss,-119.4030240372965,5,short
2021-04-22 10:05:00,2021-04-22 10:55:00,win,296.1194996124954,5,short
2021-04-22 10:55:00,2021-04-22 11:05:00,loss,-181.22513376284715,6,short
2021-04-22 11:05:00,2021-04-22 13:00:00,win,447.6260803942325,6,short
2021-04-22 13:00:00,2021-04-22 13:15:00,loss,-184.42194512242378,6,short
2021-04-22 13:15:00,2021-04-23 01:40:00,loss,-182.2088817809547,6,short
2021-04-27 08:20:00,2021-04-27 08:40:00,loss,-120.01491679972217,5,short
2021-04-27 09:25:00,2021-04-27 12:20:00,win,297.63699366331093,5,long
2021-04-27 12:20:00,2021-04-27 12:30:00,loss,-182.1538401219463,6,long
2021-04-27 12:30:00,2021-04-27 13:30:00,loss,-179.96799404048295,6,long
2021-04-27 14:00:00,2021-04-27 14:40:00,loss,-177.80837811199714,6,long
2021-04-27 17:45:00,2021-04-28 00:00:00,win,292.7911292910887,5,short
2021-04-28 09:15:00,2021-04-28 09:25:00,win,447.97042781536567,6,short
2021-04-28 09:30:00,2021-04-28 10:10:00,loss,-184.56381625993063,6,short
2021-04-28 10:15:00,2021-04-28 11:35:00,loss,-121.56603364320769,5,short
2021-04-28 12:00:00,2021-04-28 12:40:00,loss,-180.89025806109302,6,short
2021-04-28 13:00:00,2021-04-28 13:35:00,loss,-119.14638330957327,5,long
2021-04-28 13:40:00,2021-04-28 18:35:00,win,443.2245459116125,6,long
2021-04-28 18:45:00,2021-04-29 01:15:00,win,570.6516028612011,7,long
2021-04-29 08:15:00,2021-04-29 09:30:00,win,315.760553583198,5,short
2021-04-29 09:30:00,2021-04-29 12:20:00,loss,-193.24545879291713,6,short
2021-04-29 12:30:00,2021-04-29 13:05:00,loss,-190.92651328740212,6,long
2021-04-29 13:05:00,2021-04-29 13:15:00,win,314.39232521325556,5,short
2021-04-29 17:50:00,2021-04-29 18:10:00,loss,-128.27206868700824,5,short
2021-04-29 18:40:00,2021-04-30 00:15:00,loss,-127.24589213751219,5,long
2021-05-04 08:00:00,2021-05-04 09:00:00,loss,-126.22792500041207,5,long
2021-05-04 09:00:00,2021-05-04 11:50:00,win,313.04525400102193,5,short
2021-05-04 12:00:00,2021-05-04 13:00:00,win,478.9592386215635,6,long
2021-05-04 13:05:00,2021-05-04 14:00:00,win,493.3280157802103,6,long
2021-05-04 14:15:00,2021-05-04 15:10:00,loss,-254.06392812680838,7,long
2021-05-13 08:00:00,2021-05-13 09:55:00,win,500.5059384098124,6,short
2021-05-13 09:55:00,2021-05-13 10:30:00,loss,-206.20844662484274,6,short
2021-05-13 10:45:00,2021-05-13 11:05:00,loss,-135.82263017689644,5,short
2021-05-13 12:20:00,2021-05-13 12:25:00,loss,-134.73604913548127,5,long
2021-05-13 12:30:00,2021-05-13 14:00:00,win,334.14540185599355,5,long
2021-05-13 14:00:00,2021-05-16 22:00:00,win,511.24246483967005,6,long
2021-05-18 08:00:00,2021-05-18 08:05:00,loss,-210.63189551394407,6,long
2021-05-18 08:55:00,2021-05-18 09:25:00,loss,-138.73620851185117,5,long
2021-05-18 10:25:00,2021-05-18 11:05:00,loss,-137.6263188437564,5,long
2021-05-18 11:40:00,2021-05-18 12:20:00,win,511.96990609877366,6,long
2021-05-18 12:20:00,2021-05-18 12:45:00,loss,-263.6645016408685,7,long
2021-05-18 12:55:00,2021-05-18 13:10:00,loss,-207.76762729300432,6,long
2021-05-18 13:20:00,2021-05-18 13:30:00,loss,-136.84961051032553,5,long
2021-05-18 14:50:00,2021-05-18 15:55:00,loss,-135.75481362624294,5,long
2021-05-18 16:45:00,2021-05-19 00:45:00,win,336.6719377930825,5,long
2021-05-19 08:00:00,2021-05-19 08:10:00,loss,-137.36215061957765,5,short
2021-05-19 08:10:00,2021-05-19 08:45:00,win,340.65813353655255,5,short
2021-05-19 09:00:00,2021-05-19 09:45:00,win,521.2069443109253,6,short
2021-05-19 10:00:00,2021-05-19 11:35:00,win,357.8954350935021,5,short
2021-05-19 11:35:00,2021-05-19 12:00:00,loss,-219.03200627722327,6,short
2021-05-19 12:00:00,2021-05-19 12:30:00,win,541.0090555047416,6,long
2021-05-19 12:30:00,2021-05-19 12:55:00,win,557.2393271698837,6,long
2021-05-19 13:15:00,2021-05-19 13:35:00,win,717.4456337312254,7,long
2021-05-19 14:20:00,2021-05-19 18:05:00,loss,-238.19195039876683,6,long
2021-05-20 08:05:00,2021-05-20 08:30:00,loss,-156.88909799598775,5,long
